confidence_level,contour_id,point_id,log_mu,log_coupling
0.99,0,0,15.615197277324391,-10.0
0.99,0,1,15.625,-9.984209745666494
0.99,0,2,15.765639891305092,-9.791666666666666
0.99,0,3,15.814652231296195,-9.583333333333334
0.99,0,4,15.833333333333332,-9.524283354067242
0.99,0,5,15.93050694653142,-9.375
0.99,0,6,16.015703951238972,-9.166666666666666
0.99,0,7,16.041666666666668,-9.131002941505244
0.99,0,8,16.168787109909168,-8.958333333333334
0.99,0,9,16.230629597031356,-8.75
0.99,0,10,16.25,-8.724448797412572
0.99,0,11,16.40290004555874,-8.541666666666666
0.99,0,12,16.458333333333332,-8.455561048666908
0.99,0,13,16.624014569753257,-8.333333333333334
0.99,0,14,16.666666666666668,-8.289950572690351
0.99,0,15,16.843789308870488,-8.125
0.99,0,16,16.875,-8.100439939425591
0.99,0,17,17.083333333333332,-8.002185603510242
0.99,0,18,17.242583092001706,-7.916666666666666
0.99,0,19,17.291666666666668,-7.895931125910192
0.99,0,20,17.5,-7.7719060137872935
0.99,0,21,17.655239744965886,-7.708333333333333
0.99,0,22,17.708333333333332,-7.685432063847683
0.99,0,23,17.916666666666668,-7.567483995600101
0.99,0,24,18.090075343313103,-7.5
0.99,0,25,18.125,-7.482672595128033
0.99,0,26,18.333333333333332,-7.376262643008282
0.99,0,27,18.489521160220896,-7.291666666666666
0.99,0,28,18.541666666666668,-7.270245640552342
0.99,0,29,18.75,-7.180312135060481
0.99,0,30,18.958333333333332,-7.097219211155219
0.99,0,31,18.97581214608592,-7.083333333333332
0.99,0,32,19.166666666666668,-6.9413570409786125
0.99,0,33,19.30395019770523,-6.875
0.99,0,34,19.375,-6.844000757485311
0.99,0,35,19.583333333333336,-6.7503836743130545
0.99,0,36,19.71452845863197,-6.666666666666666
0.99,0,37,19.791666666666668,-6.624608626517769
0.99,0,38,20.0,-6.567442141079322
